model_id,model_78_name,billing_type_78,input_78,output_78,best_78_group,best_78_effective_input,best_78_effective_output,best_78_effective_total,geekai_match
gpt-5.2-codex-medium,gpt-5.2-codex-medium,按量计费,18.75,150,vip-1-codex,4.6875,37.5,42.1875,no
gpt-5.2-codex-xhigh,gpt-5.2-codex-xhigh,按量计费,18.75,150,vip-1-codex,4.6875,37.5,42.1875,no
gpt-5.2-pro-2025-12-11,gpt-5.2-pro-2025-12-11,按量计费,18.75,150,vip-1-codex,4.6875,37.5,42.1875,no
gpt-5.3-codex-high,gpt-5.3-codex-high,按量计费,0.45,3.6,vip-1-codex,0.1125,0.9,1.0125,no
gpt-5.3-codex-low,gpt-5.3-codex-low,按量计费,0.45,3.6,vip-1-codex,0.1125,0.9,1.0125,no
gpt-5.3-codex-medium,gpt-5.3-codex-medium,按量计费,0.45,3.6,vip-1-codex,0.1125,0.9,1.0125,no
gpt-5.3-codex-spark,gpt-5.3-codex-spark,按量计费,0.55,4.4,vip-1-codex,0.1375,1.1,1.2375,no
gpt-5.3-codex-xhigh,gpt-5.3-codex-xhigh,按量计费,0.45,3.6,vip-1-codex,0.1125,0.9,1.0125,no
gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,按量计费,18.75,150,vip-1-codex,4.6875,37.5,42.1875,no
gpt-5.4-openai-compact,gpt-5.4-openai-compact,按量计费,18.75,150,vip-1-codex,4.6875,37.5,42.1875,no
模型价格 ¥0.396,gemini-3.1-flash-image-preview,按次计费,,,gemini-image,,,,no
模型价格 ¥0.412,gemini-3-pro-image-preview,按次计费,,,gemini-image,,,,no
