group_name,group_multiplier,group_disabled,model_id,price_kind,charge_type,unit,label,raw_line,base_amount_1,base_amount_2,effective_amount_1,effective_amount_2
gemini-image,1.65,False,gemini-2.5-flash-preview-09-2025,输出,paid,M,,输出 ¥2887.5000/M,2887.5,,4764.375,
gemini-image,1.65,False,gemini-2.5-flash-thinking,输入,paid,M,,输入 ¥123.7500/M,123.75,,204.1875,
gemini-image,1.65,False,gemini-2.5-flash-thinking,输出,paid,M,,输出 ¥1031.2500/M,1031.25,,1701.5625,
gemini-image,1.65,False,gemini-2.5-pro,输入,paid,M,,输入 ¥2.0630/M,2.063,,3.40395,
gemini-image,1.65,False,gemini-2.5-pro,输出,paid,M,,输出 ¥16.5000/M,16.5,,27.225,
gemini-image,1.65,False,gemini-2.5-pro-exp-03-25,输入,paid,M,,输入 ¥123.7500/M,123.75,,204.1875,
gemini-image,1.65,False,gemini-2.5-pro-exp-03-25,输出,paid,M,,输出 ¥990.0000/M,990,,1633.5,
gemini-image,1.65,False,gemini-2.5-pro-preview-03-25,输入,paid,M,,输入 ¥123.7500/M,123.75,,204.1875,
gemini-image,1.65,False,gemini-2.5-pro-preview-03-25,输出,paid,M,,输出 ¥990.0000/M,990,,1633.5,
gemini-image,1.65,False,gemini-2.5-pro-preview-05-06,输入,paid,M,,输入 ¥123.7500/M,123.75,,204.1875,
gemini-image,1.65,False,gemini-2.5-pro-preview-05-06,输出,paid,M,,输出 ¥990.0000/M,990,,1633.5,
gemini-image,1.65,False,gemini-2.5-pro-preview-06-05,输入,paid,M,,输入 ¥123.7500/M,123.75,,204.1875,
gemini-image,1.65,False,gemini-2.5-pro-preview-06-05,输出,paid,M,,输出 ¥990.0000/M,990,,1633.5,
gemini-image,1.65,False,gemini-2.5-pro-preview-06-05-thinking,输入,paid,M,,输入 ¥123.7500/M,123.75,,204.1875,
gemini-image,1.65,False,gemini-2.5-pro-preview-06-05-thinking,输出,paid,M,,输出 ¥990.0000/M,990,,1633.5,
gemini-image,1.65,False,gemini-2.5-pro-thinking,输入,paid,M,,输入 ¥2.0630/M,2.063,,3.40395,
gemini-image,1.65,False,gemini-2.5-pro-thinking,输出,paid,M,,输出 ¥16.5000/M,16.5,,27.225,
gemini-image,1.65,False,gemini-3-flash-preview,输入,paid,M,,输入 ¥0.8250/M,0.825,,1.36125,
